countryID,country,countryavgPoints,totalPoints,avgFinish,medianFinish,raceCount
31,Azerbaijan,11.0,55,8.8,4.0,5
36,Australia,25.4,127,1.0,1.0,5
40,Austria,19.2,96,2.2,3.0,5
48,Bahrain,21.8,109,1.6,1.0,5
56,Belgium,16.2,81,3.4,3.0,5
76,Brazil,9.0,45,9.4,6.0,5
124,Canada,14.6,73,5.4,4.0,5
156,China,10.666666666666666,32,5.0,5.0,3
250,France,9.333333333333334,28,8.666666666666666,5.0,3
276,Germany,0.0,0,16.5,16.5,2
348,Hungary,12.8,64,4.6,6.0,5
380,Italy,13.0,103,4.05,3.75,7
392,Japan,17.8,89,2.8,3.0,5
484,Mexico,18.2,91,2.6,2.0,5
492,Monaco,17.0,85,2.6,3.0,5
528,Netherlands,16.666666666666668,50,3.0,3.0,3
634,Qatar,17.0,34,3.5,3.5,2
643,Russia,16.5,33,2.5,2.5,2
682,Saudi Arabia,19.0,38,2.0,2.0,2
702,Singapore,11.8,59,4.4,5.0,5
724,Spain,12.8,64,6.6,4.0,5
784,UAE,18.4,92,2.2,2.0,5
826,UK,18.4,92,2.6,2.0,5
840,USA,19.0,149,2.4333333333333336,2.0,8
840,United States,19.0,40,2.0,2.0,2
