season,circuitName,country,location,lat,lng,avgPoints,totalPoints,avgFinish,medianFinish,bestFinishDriver,worstFinishDriver,raceCount,rounds,countryavgPoints,countryID
All (2018-2024),Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.4,127,1,1,"1, (2018 Sebastian Vettel, 2019 Valtteri Bottas, 2022 Charles Leclerc, 2023 Max Verstappen, 2024 Carlos Sainz)","1, (2018 Sebastian Vettel, 2019 Valtteri Bottas, 2022 Charles Leclerc, 2023 Max Verstappen, 2024 Carlos Sainz)",5,"Round 1 - 2018-2019, Round 3 - 2022-2024",25.4,036
All (2018-2024),Autodromo Enzo e Dino Ferrari,Italy,Imola,44.3439,11.7167,9,18,5.5,5.5,"5, (2024 Carlos Sainz)","6, (2022 Charles Leclerc)",2,"Round 4 - 2022, Round 7 - 2024",14.33333333,380
All (2018-2024),Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,17,85,2.6,2,"1, (2023 Max Verstappen)","4, (2018 Sebastian Vettel, 2024 Carlos Sainz)",5,"Round 14 - 2018-2019, 2023, Round 16 - 2022, 2024",14.33333333,380
All (2018-2024),Autodromo Hermanos Rodriguez,Mexico,Mexico City,19.4042,-99.0907,18.2,91,2.6,2,"1, (2023 Max Verstappen, 2024 Carlos Sainz)","6, (2022 Charles Leclerc)",5,"Round 18 - 2019, Round 19 - 2018, 2023, Round 20 - 2022, 2024",18.2,484
All (2018-2024),Autodromo Jose Carlos Pace,Brazil,Sao Paulo,-23.7036,-46.6997,9,45,9.4,6,"1, (2023 Max Verstappen)","20, (2019 Valtteri Bottas)",5,"Round 20 - 2018-2019, 2023, Round 21 - 2022, 2024",9,076
All (2018-2024),Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,21.8,109,1.6,1,"1, (2018 Sebastian Vettel, 2022 Charles Leclerc, 2023 Max Verstappen)","3, (2024 Carlos Sainz)",5,"Round 1 - 2022-2024, Round 2 - 2018-2019",21.8,048
All (2018-2024),Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,11,55,8.8,4,"1, (2019 Valtteri Bottas)","19, (2022 Charles Leclerc)",5,"Round 4 - 2018-2019, 2023, Round 8 - 2022, Round 17 - 2024",11,031
All (2018-2024),Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,14.6,73,5.4,4,"1, (2018 Sebastian Vettel, 2023 Max Verstappen)","16, (2024 Carlos Sainz)",5,"Round 7 - 2018-2019, Round 8 - 2023, Round 9 - 2022, 2024",14.6,124
All (2018-2024),Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092,16.666666666666668,50,3,3,"1, (2023 Max Verstappen)","5, (2024 Carlos Sainz)",3,"Round 13 - 2023, Round 15 - 2022, 2024",16.66666667,528
All (2018-2024),Circuit Paul Ricard,France,Le Castellet,43.2506,5.79167,9.333333333333334,28,8.666666666666666,5,"2, (2019 Valtteri Bottas)","19, (2022 Charles Leclerc)",3,"Round 8 - 2018-2019, Round 12 - 2022",9.333333333,250
All (2018-2024),Circuit de Barcelona-Catalunya,Spain,Montmelo,41.57,2.26111,12.8,64,6.6,4,"1, (2023 Max Verstappen)","20, (2022 Charles Leclerc)",5,"Round 5 - 2018-2019, Round 6 - 2022, Round 7 - 2023, Round 10 - 2024",12.8,724
All (2018-2024),Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,17,85,2.6,3,"1, (2023 Max Verstappen)","4, (2022 Charles Leclerc)",5,"Round 6 - 2018-2019, 2023, Round 7 - 2022, Round 8 - 2024",17,492
