season,round,raceName,date,raceId,driverId,driverName,dob,nationality,constructorId,constructorName,grid,positionOrder,position,points,cumulative_points,constructor_cumulative_points,driver_standings,constructor_standings,fastestLap,fastestLapTime,fastestLapSpeed,isAusGP,isWinner,role,plotThisDriver,winnerConstructorName
2014,1,Australian Grand Prix,16/3/2014,900,3,Nico Rosberg,27/6/1985,German,131,Mercedes,3,1,1,25,25,25,1,2,19,01:32.5,206.436,TRUE,TRUE,Winner,TRUE,Mercedes
2014,2,Malaysian Grand Prix,30/3/2014,901,3,Nico Rosberg,27/6/1985,German,131,Mercedes,3,2,2,18,43,68,1,1,55,01:44.0,191.946,FALSE,FALSE,Winner,TRUE,Mercedes
2014,3,Bahrain Grand Prix,6/4/2014,902,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,61,111,1,1,49,01:37.0,200.816,FALSE,FALSE,Winner,TRUE,Mercedes
2014,4,Chinese Grand Prix,20/4/2014,903,3,Nico Rosberg,27/6/1985,German,131,Mercedes,4,2,2,18,79,154,1,1,39,01:40.4,195.45,FALSE,FALSE,Winner,TRUE,Mercedes
2014,5,Spanish Grand Prix,11/5/2014,904,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,2,2,18,97,197,2,1,51,01:29.2,187.794,FALSE,FALSE,Winner,TRUE,Mercedes
2014,6,Monaco Grand Prix,25/5/2014,905,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,122,240,1,1,33,01:19.4,151.388,FALSE,TRUE,Winner,TRUE,Mercedes
2014,7,Canadian Grand Prix,8/6/2014,906,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,140,258,1,1,33,01:18.9,199.028,FALSE,FALSE,Winner,TRUE,Mercedes
2014,8,Austrian Grand Prix,22/6/2014,907,3,Nico Rosberg,27/6/1985,German,131,Mercedes,3,1,1,25,165,301,1,1,50,01:12.6,214.518,FALSE,TRUE,Winner,TRUE,Mercedes
2014,9,British Grand Prix,6/7/2014,908,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,18,,0,165,326,1,1,26,01:38.1,216.203,FALSE,FALSE,Winner,TRUE,Mercedes
2014,10,German Grand Prix,20/7/2014,909,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,190,366,1,1,67,01:21.3,202.543,FALSE,TRUE,Winner,TRUE,Mercedes
2014,11,Hungarian Grand Prix,27/7/2014,910,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,4,4,12,202,393,1,1,64,01:25.7,183.981,FALSE,FALSE,Winner,TRUE,Mercedes
2014,12,Belgian Grand Prix,24/8/2014,911,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,220,411,1,1,36,01:50.5,228.161,FALSE,FALSE,Winner,TRUE,Mercedes
2014,13,Italian Grand Prix,7/9/2014,912,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,2,2,18,238,454,1,1,51,01:28.2,236.432,FALSE,FALSE,Winner,TRUE,Mercedes
2014,14,Singapore Grand Prix,21/9/2014,913,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,21,,0,238,479,2,1,5,01:56.8,156.154,FALSE,FALSE,Winner,TRUE,Mercedes
2014,15,Japanese Grand Prix,5/10/2014,914,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,256,522,2,1,15,01:52.6,185.739,FALSE,FALSE,Winner,TRUE,Mercedes
2014,16,Russian Grand Prix,12/10/2014,915,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,2,2,18,274,565,2,1,52,01:41.4,207.703,FALSE,FALSE,Winner,TRUE,Mercedes
2014,17,United States Grand Prix,2/11/2014,916,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,292,608,2,1,48,01:41.9,194.706,FALSE,FALSE,Winner,TRUE,Mercedes
2014,18,Brazilian Grand Prix,9/11/2014,917,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,317,651,2,1,62,01:13.6,210.711,FALSE,TRUE,Winner,TRUE,Mercedes
2014,19,Abu Dhabi Grand Prix,23/11/2014,918,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,14,14,0,317,701,2,1,17,01:46.9,187.092,FALSE,FALSE,Winner,TRUE,Mercedes
2015,1,Australian Grand Prix,15/3/2015,926,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,25,25,1,1,50,01:30.9,209.915,TRUE,TRUE,Winner,TRUE,Mercedes
2015,2,Malaysian Grand Prix,29/3/2015,927,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,2,2,18,43,61,1,1,45,01:43.1,193.501,FALSE,FALSE,Winner,TRUE,Mercedes
2015,3,Chinese Grand Prix,12/4/2015,928,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,68,101,1,1,31,01:42.2,191.996,FALSE,TRUE,Winner,TRUE,Mercedes
2015,4,Bahrain Grand Prix,19/4/2015,929,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,93,144,1,1,38,01:37.9,199.098,FALSE,TRUE,Winner,TRUE,Mercedes
2015,5,Spanish Grand Prix,10/5/2015,930,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,2,2,18,111,177,1,1,54,01:28.3,189.849,FALSE,FALSE,Winner,TRUE,Mercedes
2015,6,Monaco Grand Prix,24/5/2015,931,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,3,3,15,126,217,1,1,42,01:18.7,152.692,FALSE,FALSE,Winner,TRUE,Mercedes
2015,7,Canadian Grand Prix,7/6/2015,932,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,151,267,1,1,64,01:17.5,202.648,FALSE,TRUE,Winner,TRUE,Mercedes
2015,8,Austrian Grand Prix,21/6/2015,933,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,2,2,18,169,303,1,1,60,01:11.5,217.888,FALSE,FALSE,Winner,TRUE,Mercedes
2015,9,British Grand Prix,5/7/2015,934,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,194,353,1,1,29,01:37.1,218.425,FALSE,TRUE,Winner,TRUE,Mercedes
2015,10,Hungarian Grand Prix,26/7/2015,936,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,6,6,8,202,379,1,1,68,01:25.7,183.974,FALSE,FALSE,Winner,TRUE,Mercedes
2015,11,Belgian Grand Prix,23/8/2015,937,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,227,408,1,1,34,01:52.5,224.12,FALSE,TRUE,Winner,TRUE,Mercedes
2015,12,Italian Grand Prix,6/9/2015,938,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,252,451,1,1,48,01:26.7,240.617,FALSE,TRUE,Winner,TRUE,Mercedes
2015,13,Singapore Grand Prix,20/9/2015,939,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,5,18,,0,252,451,1,1,24,01:52.5,162.072,FALSE,FALSE,Winner,TRUE,Mercedes
2015,14,Japanese Grand Prix,27/9/2015,940,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,1,1,25,277,488,1,1,33,01:36.1,217.434,FALSE,TRUE,Winner,TRUE,Mercedes
2015,15,Russian Grand Prix,11/10/2015,941,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,1,1,25,302,531,1,1,44,01:40.6,209.328,FALSE,TRUE,Winner,TRUE,Mercedes
2015,16,United States Grand Prix,25/10/2015,942,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,1,1,25,327,556,1,1,48,01:40.7,197.014,FALSE,TRUE,Winner,TRUE,Mercedes
2015,17,Mexican Grand Prix,1/11/2015,943,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,2,2,18,345,592,1,1,67,01:20.7,191.945,FALSE,FALSE,Winner,TRUE,Mercedes
2015,18,Brazilian Grand Prix,15/11/2015,944,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,2,2,18,363,635,1,1,51,01:14.8,207.296,FALSE,FALSE,Winner,TRUE,Mercedes
2015,19,Abu Dhabi Grand Prix,29/11/2015,945,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,2,2,18,381,678,1,1,44,01:44.5,191.302,FALSE,FALSE,Winner,TRUE,Mercedes
2016,1,Australian Grand Prix,20/3/2016,948,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,1,1,25,25,43,1,1,21,01:30.6,210.815,TRUE,TRUE,Winner,TRUE,Mercedes
2016,2,Bahrain Grand Prix,3/4/2016,949,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,1,1,25,50,83,1,1,41,01:34.5,206.21,FALSE,TRUE,Winner,TRUE,Mercedes
2016,3,Chinese Grand Prix,17/4/2016,950,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,75,114,1,1,38,01:40.4,195.419,FALSE,TRUE,Winner,TRUE,Mercedes
2016,4,Russian Grand Prix,1/5/2016,951,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,100,157,1,1,52,01:39.1,212.452,FALSE,TRUE,Winner,TRUE,Mercedes
2016,5,Spanish Grand Prix,15/5/2016,952,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,22,,0,100,157,1,1,\N,\N,\N,FALSE,FALSE,Winner,TRUE,Mercedes
2016,6,Monaco Grand Prix,29/5/2016,953,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,7,7,6,106,188,1,1,74,01:18.8,152.523,FALSE,FALSE,Winner,TRUE,Mercedes
2016,7,Canadian Grand Prix,12/6/2016,954,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,5,5,10,116,223,1,1,60,01:15.6,207.669,FALSE,FALSE,Winner,TRUE,Mercedes
2016,8,European Grand Prix,19/6/2016,955,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,141,258,1,1,48,01:46.5,202.946,FALSE,TRUE,Winner,TRUE,Mercedes
2016,9,Austrian Grand Prix,3/7/2016,956,3,Nico Rosberg,27/6/1985,German,131,Mercedes,6,4,4,12,153,295,1,1,66,01:08.5,227.381,FALSE,FALSE,Winner,TRUE,Mercedes
2016,10,British Grand Prix,10/7/2016,957,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,3,3,15,168,335,1,1,44,01:35.5,221.957,FALSE,FALSE,Winner,TRUE,Mercedes
2016,11,Hungarian Grand Prix,24/7/2016,958,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,186,378,2,1,60,01:23.7,188.497,FALSE,FALSE,Winner,TRUE,Mercedes
2016,12,German Grand Prix,31/7/2016,959,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,4,4,12,198,415,2,1,51,01:19.1,208.114,FALSE,FALSE,Winner,TRUE,Mercedes
