season,round,raceName,date,raceId,driverId,driverName,dob,nationality,constructorId,constructorName,grid,positionOrder,position,points,cumulative_points,constructor_cumulative_points,driver_standings,constructor_standings,fastestLap,fastestLapTime,fastestLapSpeed,isAusGP,isWinner,role,plotThisDriver,winnerConstructorName
2014,1,Australian Grand Prix,16/3/2014,900,3,Nico Rosberg,27/6/1985,German,131,Mercedes,3,1,1,25,25,25,1,2,19,01:32.5,206.436,TRUE,TRUE,Winner,TRUE,Mercedes
2014,1,Australian Grand Prix,16/3/2014,900,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,19,,0,0,0,11,2,2,01:49.9,173.636,TRUE,FALSE,Teammate,TRUE,Mercedes
2014,2,Malaysian Grand Prix,30/3/2014,901,3,Nico Rosberg,27/6/1985,German,131,Mercedes,3,2,2,18,43,68,1,1,55,01:44.0,191.946,FALSE,FALSE,Winner,TRUE,Mercedes
2014,2,Malaysian Grand Prix,30/3/2014,901,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,25,50,2,1,53,01:43.1,193.611,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,3,Bahrain Grand Prix,6/4/2014,902,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,61,111,1,1,49,01:37.0,200.816,FALSE,FALSE,Winner,TRUE,Mercedes
2014,3,Bahrain Grand Prix,6/4/2014,902,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,1,1,25,50,93,2,1,49,01:37.1,200.634,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,4,Chinese Grand Prix,20/4/2014,903,3,Nico Rosberg,27/6/1985,German,131,Mercedes,4,2,2,18,79,154,1,1,39,01:40.4,195.45,FALSE,FALSE,Winner,TRUE,Mercedes
2014,4,Chinese Grand Prix,20/4/2014,903,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,75,136,2,1,42,01:41.2,193.916,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,5,Spanish Grand Prix,11/5/2014,904,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,100,179,1,1,54,01:29.5,187.275,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,5,Spanish Grand Prix,11/5/2014,904,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,2,2,18,97,197,2,1,51,01:29.2,187.794,FALSE,FALSE,Winner,TRUE,Mercedes
2014,6,Monaco Grand Prix,25/5/2014,905,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,122,240,1,1,33,01:19.4,151.388,FALSE,TRUE,Winner,TRUE,Mercedes
2014,6,Monaco Grand Prix,25/5/2014,905,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,2,2,18,118,215,2,1,34,01:19.4,151.51,FALSE,FALSE,Teammate,TRUE,Mercedes
2014,7,Canadian Grand Prix,8/6/2014,906,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,140,258,1,1,33,01:18.9,199.028,FALSE,FALSE,Winner,TRUE,Mercedes
2014,7,Canadian Grand Prix,8/6/2014,906,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,17,,0,118,240,2,1,24,01:18.9,198.875,FALSE,FALSE,Teammate,TRUE,Mercedes
2014,8,Austrian Grand Prix,22/6/2014,907,3,Nico Rosberg,27/6/1985,German,131,Mercedes,3,1,1,25,165,301,1,1,50,01:12.6,214.518,FALSE,TRUE,Winner,TRUE,Mercedes
2014,8,Austrian Grand Prix,22/6/2014,907,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,9,2,2,18,136,276,2,1,41,01:12.2,215.65,FALSE,FALSE,Teammate,TRUE,Mercedes
2014,9,British Grand Prix,6/7/2014,908,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,18,,0,165,326,1,1,26,01:38.1,216.203,FALSE,FALSE,Winner,TRUE,Mercedes
2014,9,British Grand Prix,6/7/2014,908,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,6,1,1,25,161,326,2,1,26,01:37.2,218.239,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,10,German Grand Prix,20/7/2014,909,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,190,366,1,1,67,01:21.3,202.543,FALSE,TRUE,Winner,TRUE,Mercedes
2014,10,German Grand Prix,20/7/2014,909,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,20,3,3,15,176,341,2,1,53,01:19.9,206.066,FALSE,FALSE,Teammate,TRUE,Mercedes
2014,11,Hungarian Grand Prix,27/7/2014,910,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,4,4,12,202,393,1,1,64,01:25.7,183.981,FALSE,FALSE,Winner,TRUE,Mercedes
2014,11,Hungarian Grand Prix,27/7/2014,910,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,22,3,3,15,191,381,2,1,36,01:27.4,180.494,FALSE,FALSE,Teammate,TRUE,Mercedes
2014,12,Belgian Grand Prix,24/8/2014,911,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,220,411,1,1,36,01:50.5,228.161,FALSE,FALSE,Winner,TRUE,Mercedes
2014,12,Belgian Grand Prix,24/8/2014,911,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,19,,0,191,393,2,1,33,01:53.7,221.748,FALSE,FALSE,Teammate,TRUE,Mercedes
2014,13,Italian Grand Prix,7/9/2014,912,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,2,2,18,238,454,1,1,51,01:28.2,236.432,FALSE,FALSE,Winner,TRUE,Mercedes
2014,13,Italian Grand Prix,7/9/2014,912,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,216,436,2,1,29,01:28.0,236.975,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,14,Singapore Grand Prix,21/9/2014,913,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,241,479,1,1,39,01:50.4,165.137,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,14,Singapore Grand Prix,21/9/2014,913,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,21,,0,238,479,2,1,5,01:56.8,156.154,FALSE,FALSE,Winner,TRUE,Mercedes
2014,15,Japanese Grand Prix,5/10/2014,914,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,1,1,25,266,504,1,1,39,01:51.6,187.322,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,15,Japanese Grand Prix,5/10/2014,914,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,256,522,2,1,15,01:52.6,185.739,FALSE,FALSE,Winner,TRUE,Mercedes
2014,16,Russian Grand Prix,12/10/2014,915,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,291,547,1,1,48,01:41.6,207.2,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,16,Russian Grand Prix,12/10/2014,915,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,2,2,18,274,565,2,1,52,01:41.4,207.703,FALSE,FALSE,Winner,TRUE,Mercedes
2014,17,United States Grand Prix,2/11/2014,916,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,1,1,25,316,590,1,1,49,01:41.9,194.712,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,17,United States Grand Prix,2/11/2014,916,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,2,2,18,292,608,2,1,48,01:41.9,194.706,FALSE,FALSE,Winner,TRUE,Mercedes
2014,18,Brazilian Grand Prix,9/11/2014,917,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,2,2,18,334,626,1,1,62,01:13.6,210.895,FALSE,FALSE,Teammate,TRUE,Mercedes
2014,18,Brazilian Grand Prix,9/11/2014,917,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,1,1,25,317,651,2,1,62,01:13.6,210.711,FALSE,TRUE,Winner,TRUE,Mercedes
2014,19,Abu Dhabi Grand Prix,23/11/2014,918,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,2,1,1,50,384,701,1,1,49,01:45.6,189.342,FALSE,TRUE,Teammate,TRUE,Mercedes
2014,19,Abu Dhabi Grand Prix,23/11/2014,918,3,Nico Rosberg,27/6/1985,German,131,Mercedes,1,14,14,0,317,701,2,1,17,01:46.9,187.092,FALSE,FALSE,Winner,TRUE,Mercedes
2015,1,Australian Grand Prix,15/3/2015,926,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,25,25,1,1,50,01:30.9,209.915,TRUE,TRUE,Winner,TRUE,Mercedes
2015,1,Australian Grand Prix,15/3/2015,926,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,2,2,18,18,43,2,1,47,01:31.1,209.577,TRUE,FALSE,Teammate,TRUE,Mercedes
2015,2,Malaysian Grand Prix,29/3/2015,927,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,2,2,18,43,61,1,1,45,01:43.1,193.501,FALSE,FALSE,Winner,TRUE,Mercedes
2015,2,Malaysian Grand Prix,29/3/2015,927,3,Nico Rosberg,27/6/1985,German,131,Mercedes,3,3,3,15,33,76,3,1,43,01:42.1,195.516,FALSE,FALSE,Teammate,TRUE,Mercedes
2015,3,Chinese Grand Prix,12/4/2015,928,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,68,101,1,1,31,01:42.2,191.996,FALSE,TRUE,Winner,TRUE,Mercedes
2015,3,Chinese Grand Prix,12/4/2015,928,3,Nico Rosberg,27/6/1985,German,131,Mercedes,2,2,2,18,51,119,3,1,39,01:42.6,191.328,FALSE,FALSE,Teammate,TRUE,Mercedes
2015,4,Bahrain Grand Prix,19/4/2015,929,1,Lewis Hamilton,7/1/1985,British,131,Mercedes,1,1,1,25,93,144,1,1,38,01:37.9,199.098,FALSE,TRUE,Winner,TRUE,Mercedes
2015,4,Bahrain Grand Prix,19/4/2015,929,3,Nico Rosberg,27/6/1985,German,131,Mercedes,3,3,3,15,66,159,2,1,36,01:37.3,200.184,FALSE,FALSE,Teammate,TRUE,Mercedes
